userName;score;content;at;
Yan Ryan;1;Aplikasinya luar biasa� terutama dalam menguji kesabaran pengguna setiap kali login gagal;31/12/2025 23:49;
Aziz;5;Saya senang ada aplikasi ini karena sangat membantu dan tidak ada iklan juga;31/12/2025 23:41;
Herry Makfudin;3;sering update trs;31/12/2025 23:21;
DIAN AUDINA;1;SERING GANGGUAN WKWKW ada maintenance sampe tiap malm;31/12/2025 23:02;
Kadongdong Punya;1;aplikasi tidak bisa digunakan, PD saat daftar kembali selalu meminta untuk mengulangi pembuatan password baru;31/12/2025 22:28;
Diva Maulana Prayoga;1;kok saldo saya tiba tiba berkurang, tidak ada riwayat pengeluaran dan penarikan juga maksut nya apa mohon penjelasannya;31/12/2025 22:04;
Ilham Saputro;3;Mohon bantuannya, transaksi uang masuk dan keluar saya pada tanggal 31 Desember 2025 tidak muncul di mutasi aplikasi. Padahal saldo sudah berubah, tapi riwayatnya kosong. Mohon segera diperbaiki karena data ini sangat penting untuk pembukuan akhir tahun saya. Terima kasih;31/12/2025 21:46;
Akhmad jati Nugroho;1;"lama"" ganti bank kalau kaya gini ngurus di bank pakai aplikasi dipersulit eh Livin juga mempersulit jam setengah 4 pagi mau dipakai tidak berhasil terus";31/12/2025 20:46;
Jumi Akbar;1;Perbaikan kok setiap hari, orang mau transaksi jadi susah. pindah bank aja kali ya.;31/12/2025 20:40;
Andra Abdul Latief;1;tiap malem pasti offline pemeliharaan;31/12/2025 20:40;
abdul zabar;1;ini gimna masa gabisa dipake pembayaran woyyy!!! duit banyak tapi gabisa bayar gua gagal mulu;31/12/2025 20:35;
Helmi Sirajuddin;1;banyak potongan ga jelas;31/12/2025 20:06;
Ruslan Rus;5;mantap;31/12/2025 19:56;
Yusintra Putra zebua;5;ok;31/12/2025 17:04;
Bani Tarauk;1;tiap malem selalu ada perbaikan bikin ga nyaman bagi kita yg suka belanja pakai qris klo mau beli2 tengah malam;31/12/2025 17:01;
Suhendras Hendrawan;1;jos;31/12/2025 16:42;
Nurhasanah Apriani;1;Bank Mandiri ingin menguras rekening nasabah yang saldonya kecil. karena semua transaksi Pembayaran lewat VA, dll . dikenakan biaya admin 1000 rupiah, padahal sebelumnya tidak ada , rugi jadinya karena banyak biaya admin. bayangkan 1000 rupiah di kali 100 kali transaksi, karena buat yang saldo rekeningnya kecil, seperti saya ibu Rumah tangga sangat membebani dan merugikan , padahal sudah ada biaya bank yang dipotong setiap bulannya. mohon dipertimbangkan oleh bank mandiri. kebijakan ini .;31/12/2025 16:07;
Yayan Hendrawan;5;bagus pakai kartu ATM ngambil uang lebih mudah;31/12/2025 16:02;
Muamar;4;ini kenapa ya disaat saya buka aplikasi mandiri ini muncul notif sedang dalam panggilan tidak bisa masuk aplikasi, sedangkan saya tidak sedang menelpon siapa siapa atau di telpon seseorang;31/12/2025 15:49;
Alfin Shaputra;1;ini bagaimana. solusi nya saya lupa password dan sandi.. masuk suruh foto. kartu ATM sedang kan saya belum punya kartu ATM mandiri... 🙏🙏🙏🙏 bantuan nya;31/12/2025 15:47;
Abdul Rosyid;1;stiap mau masuk livin ga prnah bisa belum berhasil trhubung trus knpa ini?;31/12/2025 15:02;
Asri Andi;5;parah ini mandiri gak bisa loding 🤕;31/12/2025 15:02;
jaka la2na;1;haduuuh up date up date apa lagi ini;31/12/2025 13:29;
bisyrah koyimah12;4;kenapa di livin saya ga ada fitur pinjaman ya;31/12/2025 13:08;
Endah Rosidah;3;aplikasi ini tidak bisa di akses oleh sy.sy tidak bisa membuka aplikasi ini;31/12/2025 13:05;
Syafei 88;1;susah masuk;31/12/2025 12:49;
Azril channel;3;kenapa saya tidak bisa melakukan transfer lewat Livin;31/12/2025 12:38;
Ardi Wibowo;2;aplikasi susah di buka;31/12/2025 12:26;
Amaliyah Amal;2;maap KA ini ko aplikasi nya udah berkali kali masuk tapi malah bilang layanan tidak tersedia untuk sementara kenapa ya ka;31/12/2025 12:25;
Wira Adi;3;tolong lh mandiri ada fitur buat narik uang atau batalin transferan beberapa menit saya di tipu sampai 650rb;31/12/2025 12:16;
hendra fitri yawan;1;kenpa saya mau aktifkan living sya ko jawabannya ganguan trus;31/12/2025 12:13;
Eko Purwanto;4;Sip dah;31/12/2025 12:07;
Kiwil Mberrr;5;ga masuk login;31/12/2025 12:03;
Tegar Ade Bachtiar;5;kepada pihak Livin mandiri yang terhormat kenapa akun live saya tidak bisa di login... dengan keterangan layanan ini tidak tersedia... mohon bantuannya kepada pihak Livin mandiri yang terhormat.... terimakasih;31/12/2025 11:39;
Rahman Evolucion;5;tolong min mandiri aku kok gak bisa di buka, tidak bisa masuk login, mandiri lagi error atau gimn, nama mandiri aku rahman, tolong perbaiki;31/12/2025 11:13;
Cosphii;5;bagus;31/12/2025 11:03;
Ranie;3;buruk kenapa aplikasi punya ku error nggak bisa dibuka padahal Uda di update;31/12/2025 10:52;
Nur Sidi;1;sistemnya parah belum waktunya debet udah di ambil 2 kali;31/12/2025 09:37;
